timestamp,sentence,author
2023-11-02 17:26:00,"Alibaba Group Holding Ltd. ADR rises Thursday, still underperforms market",by MarketWatch Automation
2023-11-01 17:26:00,"Alibaba Group Holding Ltd. ADR falls Wednesday, underperforms market",by MarketWatch Automation
2023-10-31 17:26:00,"Alibaba Group Holding Ltd. ADR falls Tuesday, underperforms market",by MarketWatch Automation
2023-10-31 12:14:00,Nvidia Earnings May Be Dominated by China Woes. 2024 Sales Could Take a Hit.,by Barron's
2023-10-31 10:29:00,Alibaba Upgrades AI Model as China’s Tech Sector Aims to Defy U.S. Chip Restrictions,by Barron's
2023-10-30 17:26:00,"Alibaba Group Holding Ltd. ADR rises Monday, still underperforms market",by MarketWatch Automation
2023-10-27 17:25:00,"Alibaba Group Holding Ltd. ADR rises Friday, still underperforms market",by MarketWatch Automation
2023-10-18 09:18:00,China’s Economy Shows Signs of Recovery. Why Alibaba and Other Stocks Are Still Slipping.,by Barron's
2023-10-17 09:35:00,Baidu Claims Its AI Tech Matches ChatGPT. Alibaba Has Some Catching Up to Do.,by Barron's
2023-10-16 10:17:00,Nvidia’s AI Chip Exports to China Are Under Threat: Report,by Barron's
2023-10-13 07:23:00,China’s Economy Is Improving but the Stock Market Says It’s Not Fast Enough,by Barron's
2023-10-10 09:59:00,Alibaba Stock Jumps on China Stimulus Reports. The Gains Might Hold This Time.,by Barron's
2023-10-05 10:25:00,Howard Hughes Holdings spinning off Seaport Entertainment to shareholders,by Steve Gelsi
2023-09-29 10:55:00,"Blue Apron notches triple-digit percentage gain while Nike rallies after earnings beat, boosting rivals as well as retailer Foot Locker",by MarketWatch
2023-09-29 08:49:00,Fortnite parent company Epic Games in the spotlight as tech layoffs roll on,by James Rogers
2023-09-29 07:46:00,"Nio’s, Alibaba’s stocks get a boost from China’s cyberspace regulator",by Tomi Kilgore
2023-09-29 05:51:00,"Alibaba, NIO, XPeng Stocks Climb. Chinese Businesses Get a Regulatory Boost.",by Barron's
2023-09-27 03:00:00,"For This Pro, China’s Slowdown Won’t Hold Back These Luxury Stocks",by Barron's
2023-09-26 22:04:00,Alibaba’s logistics unit files for Hong Kong IPO,by Emily Bary
2023-09-26 10:07:00,Alibaba continues plans for value unlock as it seeks spinoff of logistics unit,by Barron's
2023-09-25 08:56:00,"Evergrande Debt Fears Mount, Weighing on Chinese Stocks",by Barron's
2023-09-22 16:37:00,"These Stocks Moved the Most Today: Ford, Activision, Alibaba, Squarespace, Amazon, Scholastic, and More",by Emily Bary
2023-09-22 10:20:00,Alibaba and other Chinese shares bounce back as China reportedly looks to re-energize its stock market,by Barron's
2023-09-22 06:36:00,"Alibaba, JD.com Stocks Rise on Report of China Easing Ownership Limits",by Barron's
2023-09-21 13:42:00,"China Is in Trouble, but It’s No Disaster. Don’t Run Scared.",by Barron's
2023-09-19 07:02:00,U.S. Business Confidence Hits Record Low in China. Days of Outperformance May Be Over.,by Barron's
2023-09-18 14:34:00,SoftBank Could Boost Its Stock With a Big Buyback: Analyst,by Barron's
2023-09-18 05:20:00,Alibaba Plans to Invest $2 Billion in Turkey,by Barron's
2023-09-15 07:20:00,"Alibaba, JD.com Show the Jury Is Still Out on China’s Economy Amid Strong Data",by Barron's
2023-09-14 16:10:00,Arm Stock Closes 25% Above IPO Price in Public Debut,by Barron's
2023-09-13 13:07:00,"Alibaba to Make Its AI Model Public, But Its Cloud Spinoff Still Seems Far Off",by Barron's
2023-09-13 09:26:00,Some Chinese Stocks Are a Real Bargain Now. Alibaba Is One of Them.,by Isabel Wang
2023-09-13 01:26:00,Alibaba Introduces Its AI Model to Public,by Barron's
2023-09-12 09:00:00,Alibaba’s New CEO Shares His 2 Big Priorities,by MarketWatch
2023-09-12 00:31:00,Alibaba Group CEO Sets Core Priorities,by Barron's
2023-09-11 16:27:00,"Dow scores third day of gains ahead of coming inflation, retail-sales data",by Barron's
2023-09-11 16:20:00,"These Stocks Moved the Most Today: Tesla, Qualcomm, Disney, Hostess Brands, RTX, Meta, and More",by Tomi Kilgore
2023-09-11 12:09:00,"Tesla and Canopy Growth stocks surge, RTX and J.M. Smucker shares fall, and other stocks on the move",by Barron's
2023-09-11 08:52:00,Alibaba Stock Falls After Former CEO Steps Down From Cloud Business,by Barron's
2023-09-10 22:59:00,Alibaba’s ex-chairman Daniel Zhang steps down as CEO of cloud business unit,by Barron's
2023-09-08 07:27:00,Economists See China Still in Deflation. What Knife-Edge Estimates Mean for Alibaba.,by Barron's
2023-09-07 12:50:00,"Nio, Alibaba stocks drop as part of broad selloff in the ADS of China-based companies",by Barron's
2023-09-07 09:15:00,Alibaba Stock Falls. More Economic Data From China Weighs on Shares.,by Barron's
2023-09-05 11:27:00,"It Isn’t Just Alibaba Stock. Why the Latest Grim China Data Hit LVMH, Too.",by Barron's
2023-09-04 06:17:00,"Alibaba, JD.com Stocks Surge. Why China’s Property Stimulus Is Boosting Tech Giants.",by Barron's
2023-09-04 05:15:00,Global Stocks Climb on China Rebound. There Could Be More Stimulus to Come.,by Barron's
2023-08-31 09:19:00,Alibaba Stock Set to Drop for Second Day. Why It’s Time to Look Past China’s Misery.,by Barron's
2023-08-31 01:30:00,Luxury Stocks Are Going Out of Fashion. It’s the China Syndrome.,by Barron's
