,sentence,label
0,watching for bounce tomorrow,2
1,record number of passengers served in 2015,2
2,out $NFLX -.35,0
3,Looking for a strong bounce Lunchtime rally coming,2
4,Very intrigued with the technology and growth potential,2
5,short worked puts up,1
6,overbought,0
7,absolute garbage still up stores TOTALLY EMPTY stock mispriced,0
8,Biggest Market Losers,0
9,Love this company long time.,2
10,$GOOG $GOOGL would suck,0
11,who won't pay anymore REAL risk,0
12,No edge offered,2
13,runs into the 50sma on the acquisition news,2
14,t can't go down,2
15,now seems like its helping the downtrend,0
16,mastered their supply chain,2
17,Most bullish stocks on Twitter during this dip,2
18,big dumping would not touch it for a while,0
19,trade continuing very nicely from yesterday looking very strong here,2
20,in from 3.61,2
21,Stochastic Overbought,0
22,Unusual call buying,2
23,reserves are in decline,2
24,"all on a longer-term, technical swing long basis.",2
25,Insiders Are Selling,0
26,What goes up...,0
27,if $249.84 breaks we see $245 then $240,0
28,let's see a big bounce,2
29,I don't think it will move $FB in the short term,0
30,above 2.25 and it could get going?,2
31,Hold,2
32,may feed off $TSLA momentum run lately.,2
33,possible double bottom set up,2
34,trading at all-time high strong earnings report,2
35,If positive outcome w/ lung study5/8 we may see a 13D Filing by Soros,2
36,Put the chum out there at key support then next level down careful,0
37,"#Tesla: Great Company, Bad #Stock $TSLA",0
38,Good idea buy half this and half BAC?,2
39,Alibaba IPO hoopla canâ€™t hide risk of Chinese stocks,0
40,"all on a longer-term, technical swing long basis.",2
41,on the fence with this one,1
42,stay long Apple,2
43,looks like drought conditions in soil already,0
44,Unusual Call Activity,2
45,$MDXG lower,0
46,Biggest Market Losers,0
47,hip sinking?,0
48,Can't imagine shorts wanting to go into the weekend without taking care of their position,2
49,nice volume watch 330 resistance,2
50,$SIMO Basing nice A close over 24.18 is bullish,2
51,Big Money Is Pouring Into Facebook From All Directions,2
52,placed an order to sell 5 shares,0
53,go $FB go,2
54,Out $BIDU for now,0
55,Short Setups Looking Nice....Really Nice,0
56,Defying the Downturn,2
57,but man this is one to be careful with,0
58,downgrade,0
59,Short $TSLA calls,0
60,Was looking for a long entry but today's price action wasn't appealing,2
61,"just follow the trend, follow the money flow",2
62,tapping on 10.00,2
63,Will re-enter short on bounce..,0
64,Found some good bull setups this week,2
65,all going down,0
66,so volatile!,0
67,sold my 81 calls,2
68,I'm watching(and buy targets),2
69,beats the Estimize EPS Consensus by 6c and the Estimize Revenue Consensus by,2
70,Short Percent of Float 16.80%,0
71,,0
72,Add to $FXP $SKF positions,2
73,long,2
74,Bottom Losses,0
75,ure wish bad news came out just a few days earlier,0
76,,1
77,"$WMT, 13%",2
78,added increase of 16.7%,2
79,mkt fell on debt downgrade due to slow growth,0
80,$FCX +3.53%,2
81,been very frustrating green bar gets followed immediately by 1-3 weeks of consolidation,0
82,Thanks for the short,0
83,need to break $4 again,2
84,Fed cuts rates forecast Our calls go 100%,2
85,Stochastic Overbought,0
86,Very tight price,1
87,#oversold,2
88,a great step for #China to let $FB in,2
89,new squeeze plays,0
90,$CRM Seems a little to high also,0
91,Pie In The Sky,2
92,Moved Upper Bollinger Band,2
93,Highest call to put ratio,2
94,offers will take place until next week,2
95,Currently it is the shorts rejoicing,0
96,breaking out when the market pulls back,2
97,airlines battle for Cuba routes $AAL $LUV $SAVE $JBLU,2
98,Buy the dip',2
99,$MDXG  lower.,0
100,BlackBerry Messenger is second only to Facebook in user loyalty,2
101,Headed to all time highs,2
102,Your shit is broke,0
103,buy,2
104,Weak open and it goes r/g within first 30 mins,0
105,down $2.84 premarket,0
106,Guess who sold off about $800 million in $MDLZ,0
107,Buying on Weakness,2
108,Shareholders welcome Marriott-Starwood deal,2
109,peachy prospects,2
110,"Another Sell Rating, Sell Rating",0
111,Nice day rally!,2
112,Nice day rally!,2
113,Quality Stocks With High Cash Returns,2
114,LED light bulb prices rise in Japan,2
115,Closed Buy,2
116,highest down volume in last 10 days,0
117,With $IBB back over support,2
118,long into earnings looks good over 600,2
119,"considering Yahoo bid up 2,05%",2
120,"After weeks of steady gains,advances in mkt breadth slowe",0
121,I will buy aggressively if pulls back,2
122,Nice day rally!,2
123,gets 26 patents and goes down,0
124,Buying on Weakness,2
125,LED light bulb prices rise in Japan,2
126,"is a later riser, Positive catalyst?",2
127,Could that have been a strategy to exit shorts before the big pop?,2
128,Piper upgrades Symantec on improving renewal rates and enterprise growth,2
129,Look for strong solar rebound today!,2
130,I think the DNF crew can get this $NFLX short into the next 30 days heading into earnings,0
131,red $AAPL dragging down $QQQ,0
132,cuts outlook down,0
133,weakness continues again.,0
134,Watchlist Top Stocks,2
135,Long,2
136,joint bid for Yahoo's internet assets,2
137,patience pays off,2
138,Bad governance not confident in core biz,0
139,Bottom Losses,0
140,sales numbers still holding up so well igh end might not be a concern after all.,2
141,I just feel the people who are buying are the same ones with their finger on the sell button,0
142,gap filled,2
143,debt crisis entered a dangerous new phase,0
144,just about to break out to new highs lots of technicals looking great right now,2
145,next resist is 64.40's,2
146,,1
147,looks really toppy right here.,0
148,this will pop after the holiday,2
149,Breakup Will Cost Billions,0
150,News breaks first and fastest on Twitter $TWTR,2
151,overbought,0
152,Continues to consolidate above previous break out area.,2
153,Good to load up Be confident,2
154,Long look like a 5-10% run awaits,2
155,Buy Call!,2
156,companies shld be worried about iCloud,0
157,$SPY -0.05%,2
158,but decent supt here-expect some upside,2
159,Monday sold,0
160,"Sector has been taking a beating recently, could be positive here will catch a bid today",2
161,"At 11x earnings, $AAPL is a steal",2
162,Multi Top on $MCD  chart finally leads to a fall in price Stability is questioned in the stock but coming weeks will tell,0
163,US Adds 321K Jobs In November Unemployment Rate Remains At  Gold Futures off,2
164,Why is $FB falling?,0
165,calls for nice gains Still holding Week made in a morning,2
166,someone bought lots of calls MON,2
167,moving up again,2
168,$EA points to the two Facebook games,2
169,ready to exit bankruptcy,2
170,starting to creep up,2
171,looks like BO coming,2
172,2m this year would be amazing,2
173,Moved Upper Bollinger Band,2
174,$GOGO short,0
175,EU getting closer to charging Google over Android,0
176,Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets,2
177,China winners,2
178,looks like an ascending channel,2
179,patience on the buy precedes patience on the sell,1
180,Oil To Break Out Adding Chevron,2
181,brand name is to big for it to fail  I bet they recover or get bought out before the year is over,2
182,Top #NetPayoutYields,2
183,Long $AMZN Oct $240 Calls,2
184,under pressure along with the market,2
185,patience pays off,2
186,stock splits are lipstick on a pig!,0
187,making new highs for the year,2
188,held up well after the big gains! still very undervalued and has major upside,2
189,wait and see before taking any action,1
190,Markets Are Still Acting Weak,0
191,breaking below support,0
192,sold 20% of our concentrated stake,0
193,want to go this morning it's about time looking at the chart,2
194,cracking lower early $short #correction,0
195,$FB & $IBB down,0
196,Higher In Afternoon Trade Buy Point,2
197,Oil To Break Out Adding Chevron,2
198,added $SSO 64.33,2
199,$FB $112 Calls .55 entry,2
200,Is Tiffany's overvalued,0
201,$INTC & $AAPL strong tech leads DOW higher,2
202,after crunching #'s diamond in the rough,2
203,Biggest gainers today large caps,2
204,$AAPL a new long IF 110.61 is broke,2
205,added to our $GILD position started a new one in $BWLD,2
206,Largest Online Gaming Market,2
207,,0
208,Bottom Losses,0
209,stopped out even from yesterdays entry,0
210,Micron Shares Pounded On Fears Of Loss Of Business From Apple,0
211,Closed Buy,2
212,over 225 million new Internet users are being added globally every year,2
213,$UVXY broke 10.00 amazing!!! not the 1st time won't be the last,2
214,Long LEAPS,2
215,"Looks like that support line around 24.90 held t can close green it could start seeing some pstv momentum,",2
216,retreats like clockwork,0
217,,1
218,its time to sell banks,0
219,upgrades to outperform ifts price target,2
220,Unusual call buying,2
221,holding strong,2
222,Three of my hot stocks today,2
223,Bulls Are Out,2
224,patents system,2
225,Markets Back in Black for 2016,2
226,The losers buying $TSLA at these levels,0
227,adding $expe and $pcln to the mix soon I already have $CTRP and $trip,2
228,Today's losers,0
229,not feel terribly good,0
230,$SPY up only 0.6% Still holding,2
231,record number of passengers served in 2015,2
232,While we think $TNH is a winner we are ringing the register,2
233,reiterated 'Outperform' rating,2
234,airplanes are still flying,2
235,$MTD $341 from $325 ,2
236,bond buying is signaling some bad moves for the market,0
237,I see more downside in next two weeks be careful -20 dollars drop potential,0
238,has just about run its course needs to find a way to turn around,0
239,Biggest Market Losers,0
240,Loaded up on $bsx yesterday looking good now Still think way more upside than downside.,2
241,Notable gainers among liquid option names this morning,2
242,Gevoâ€™s Alcohol to Jet Fuel Now Eligible to be Used for Commercial Flight,2
243,5-star analyst @brianwieser from Pivotal Research upgraded rating on $GOOGL to BUY Brian has a 79% success rate,2
244,Santa Rally blow off top,2
245,iPhone 6s is still better than Galaxy S7,2
246,didn't factor in anything other than google and repeated good earnings,2
247,Facebook is succeeding where Google should have dominated,2
248,$UCO +4.44%,2
249,up on day and will continue a surge next week.,2
250,Facebook stock is now +$72,2
251,ripe for a squeeze again,0
252,Biggest Market Losers,0
253,with personal story sharing declining will $FB feeds start to look more like $TWTR,0
254,upgrades stock recuperates,2
255,saying this is a peak = fear mongering Competition's dying smartphone usage increasing,2
256,the most trending,2
257,who won't pay anymore REAL risk,0
258,still they are saying bullish LoL,0
