timestamp,sentence,author,date,label
2023-11-02 17:26:00,alibaba group holding ltd adr rise thursday still underperform market ,by MarketWatch Automation,2023-11-02,2
2023-11-01 17:26:00,alibaba group holding ltd adr fall wednesday underperform market ,by MarketWatch Automation,2023-11-01,2
2023-10-31 17:26:00,alibaba group holding ltd adr fall tuesday underperform market ,by MarketWatch Automation,2023-10-31,2
2023-10-31 12:14:00,nvidia earnings may be dominated china woes 2024 sales could take hit ,by Barron's,2023-10-31,2
2023-10-31 10:29:00,alibaba upgrades ai model china  tech sector aims defy us chip restrictions ,by Barron's,2023-10-31,2
2023-10-30 17:26:00,alibaba group holding ltd adr rise monday still underperform market ,by MarketWatch Automation,2023-10-30,2
2023-10-27 17:25:00,alibaba group holding ltd adr rise friday still underperform market ,by MarketWatch Automation,2023-10-27,2
2023-10-18 09:18:00,china  economy shows signs recovery why alibaba other stocks are still slipping ,by Barron's,2023-10-18,2
2023-10-17 09:35:00,baidu claims its ai tech matches chatgpt alibaba has some catching up do ,by Barron's,2023-10-17,2
2023-10-16 10:17:00,nvidia  ai chip exports china are under threat report ,by Barron's,2023-10-16,2
2023-10-13 07:23:00,china  economy is improving the stock market says it  not fast enough ,by Barron's,2023-10-13,2
2023-10-10 09:59:00,alibaba stock jumps china stimulus reports the gains might hold this time ,by Barron's,2023-10-10,2
2023-10-05 10:25:00,howard hughes holdings spin seaport entertainment shareholders ,by Steve Gelsi,2023-10-05,2
2023-09-29 10:55:00,blue apron notch tripledigit percentage gain nike rally earn beat boost rival well retailer foot locker ,by MarketWatch,2023-09-29,2
2023-09-29 08:49:00,fortnite parent company epic games the spotlight tech layoffs roll ,by James Rogers,2023-09-29,2
2023-09-29 07:46:00,nio   alibaba  stock get boost china  cyberspace regulator ,by Tomi Kilgore,2023-09-29,2
2023-09-29 05:51:00,alibaba nio xpeng stocks climb chinese businesses get regulatory boost ,by Barron's,2023-09-29,2
2023-09-27 03:00:00,for this pro china  slowdown won  hold back these luxury stocks ,by Barron's,2023-09-27,2
2023-09-26 22:04:00,alibaba  logistics unit file hong kong ipo ,by Emily Bary,2023-09-26,2
2023-09-26 10:07:00,alibaba continue plan value unlock it seek spinoff logistics unit ,by Barron's,2023-09-26,2
2023-09-25 08:56:00,evergrande debt fears mount weighing chinese stocks ,by Barron's,2023-09-25,2
2023-09-22 16:37:00,these stocks moved most today ford activision alibaba squarespace amazon scholastic and more ,by Emily Bary,2023-09-22,2
2023-09-22 10:20:00,alibaba other chinese share bounce back china reportedly look reenergize stock market ,by Barron's,2023-09-22,2
2023-09-22 06:36:00,alibaba jdcom stocks rise report china easing ownership limits ,by Barron's,2023-09-22,2
2023-09-21 13:42:00,china is trouble but it  no disaster don  run scared ,by Barron's,2023-09-21,2
2023-09-19 07:02:00,us business confidence hits record low china days outperformance may be over ,by Barron's,2023-09-19,2
2023-09-18 14:34:00,softbank could boost its stock with big buyback analyst ,by Barron's,2023-09-18,2
2023-09-18 05:20:00,alibaba plans invest  2 billion turkey ,by Barron's,2023-09-18,2
2023-09-15 07:20:00,alibaba jdcom show jury is still out china  economy amid strong data ,by Barron's,2023-09-15,2
2023-09-14 16:10:00,arm stock closes 25  above ipo price public debut ,by Barron's,2023-09-14,2
2023-09-13 13:07:00,alibaba make its ai model public but its cloud spinoff still seems far off ,by Barron's,2023-09-13,2
2023-09-13 09:26:00,some chinese stocks are real bargain now alibaba is one them ,by Isabel Wang,2023-09-13,2
2023-09-13 01:26:00,alibaba introduces its ai model public ,by Barron's,2023-09-13,2
2023-09-12 09:00:00,alibaba  new ceo shares his 2 big priorities ,by MarketWatch,2023-09-12,2
2023-09-12 00:31:00,alibaba group ceo sets core priorities ,by Barron's,2023-09-12,2
2023-09-11 16:27:00,dow score third day gain ahead come inflation retailsales data ,by Barron's,2023-09-11,2
2023-09-11 16:20:00,these stocks moved most today tesla qualcomm disney hostess brands rtx meta and more ,by Tomi Kilgore,2023-09-11,2
2023-09-11 12:09:00,tesla canopy growth stock surge rtx jm smucker share fall and stock the move ,by Barron's,2023-09-11,2
2023-09-11 08:52:00,alibaba stock falls after former ceo steps down from cloud business ,by Barron's,2023-09-11,2
2023-09-10 22:59:00,alibaba  exchairman daniel zhang step as ceo cloud business unit ,by Barron's,2023-09-10,2
