Word,Index
the,0
eur,1
s,2
company,3
a,4
be,5
say,6
mn,7
finnish,8
sales,9
million,10
share,11
in,12
profit,13
net,14
group,15
finland,16
its,17
and,18
market,19
service,20
mln,21
2009,22
new,23
2008,24
it,25
total,26
period,27
business,28
year,29
quarter,30
2007,31
2010,32
increase,33
also,34
operate,35
oyj,36
as,37
have,38
to,39
include,40
contract,41
first,42
2006,43
euro,44
an,45
which,46
order,47
helsinki,48
loss,49
report,50
operations,51
today,52
compare,53
mobile,54
bank,55
plant,56
expect,57
per,58
build,59
financial,60
correspond,61
production,62
products,63
nokia,64
this,65
use,66
will,67
project,68
make,69
result,70
price,71
percent,72
rise,73
technology,74
corporation,75
operating,76
solutions,77
provide,78
hel,79
board,80
pct,81
capital,82
customers,83
construction,84
value,85
investment,86
stock,87
agreement,88
part,89
plan,90
end,91
we,92
well,93
would,94
oy,95
one,96
sell,97
2005,98
development,99
us,100
about,101
start,102
offer,103
unit,104
with,105
continue,106
omx,107
estimate,108
line,109
for,110
according,111
amount,112
two,113
industry,114
decrease,115
ceo,116
2011,117
network,118
other,119
up,120
hold,121
1,122
manufacture,123
management,124
develop,125
last,126
sign,127
russia,128
equipment,129
not,130
of,131
number,132
acquire,133
people,134
design,135
10,136
process,137
base,138
plc,139
employees,140
second,141
announce,142
at,143
grow,144
software,145
5,146
release,147
news,148
third,149
right,150
global,151
approximately,152
ltd,153
maker,154
paper,155
cost,156
deliver,157
deal,158
earlier,159
annual,160
media,161
usd,162
systems,163
issue,164
countries,165
stake,166
give,167
3,168
system,169
january,170
take,171
supply,172
phone,173
billion,174
20,175
area,176
4,177
information,178
15,179
acquisition,180
september,181
down,182
30,183
months,184
exchange,185
remain,186
growth,187
2,188
subsidiary,189
buy,190
however,191
may,192
our,193
lead,194
their,195
euros,196
cover,197
some,198
data,199
steel,200
fell,201
aim,202
enable,203
nordic,204
all,205
complete,206
time,207
trade,208
launch,209
basware,210
solution,211
close,212
add,213
work,214
engineer,215
product,216
target,217
half,218
while,219
9,220
eur0,221
years,222
8,223
focus,224
office,225
food,226
these,227
mill,228
both,229
expand,230
china,231
sector,232
manufacturer,233
position,234
on,235
interest,236
oil,237
improve,238
october,239
facility,240
vote,241
store,242
capacity,243
lower,244
president,245
transfer,246
6,247
nordea,248
support,249
transaction,250
world,251
units,252
international,253
march,254
largest,255
inc,256
electronics,257
eps,258
come,259
range,260
baltic,261
swedish,262
save,263
directors,264
power,265
europe,266
sweden,267
ruukki,268
fund,269
cash,270
own,271
go,272
by,273
brand,274
award,275
