timestamp,sentence,author,date,label
2023-11-02 17:26:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s>Alibaba Group Holding Ltd. ADR rise Thursday still underperform market ,by MarketWatch Automation,2023-11-02,2
2023-11-01 17:26:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s>Alibaba Group Holding Ltd. ADR fall Wednesday underperform market ,by MarketWatch Automation,2023-11-01,0
2023-10-31 17:26:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s>Alibaba Group Holding Ltd. ADR fall Tuesday underperform market ,by MarketWatch Automation,2023-10-31,0
2023-10-31 12:14:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s>Nvidia Earnings May Be Dominated China Woes 2024 Sales Could Take Hit ,by Barron's,2023-10-31,2
2023-10-31 10:29:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s>Alibaba Upgrades AI Model China ’ Tech Sector Aims Defy U.S. Chip Restrictions ,by Barron's,2023-10-31,1
2023-10-30 17:26:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s>Alibaba Group Holding Ltd. ADR rise Monday still underperform market ,by MarketWatch Automation,2023-10-30,2
2023-10-27 17:25:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s>Alibaba Group Holding Ltd. ADR rise Friday still underperform market ,by MarketWatch Automation,2023-10-27,2
2023-10-18 09:18:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s>China ’ Economy Shows Signs Recovery Why Alibaba Other Stocks Are Still Slipping ,by Barron's,2023-10-18,2
2023-10-17 09:35:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s>Baidu Claims Its AI Tech Matches ChatGPT Alibaba Has Some Catching Up Do ,by Barron's,2023-10-17,2
2023-10-16 10:17:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s>Nvidia ’ AI Chip Exports China Are Under Threat Report ,by Barron's,2023-10-16,2
2023-10-13 07:23:00,</s></s></s></s></s></s></s></s></s></s></s></s>China ’ Economy Is Improving the Stock Market Says It ’ Not Fast Enough ,by Barron's,2023-10-13,1
2023-10-10 09:59:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s>Alibaba Stock Jumps China Stimulus Reports The Gains Might Hold This Time ,by Barron's,2023-10-10,1
2023-10-05 10:25:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s>Howard Hughes Holdings spin Seaport Entertainment shareholders ,by Steve Gelsi,2023-10-05,1
2023-09-29 10:55:00,</s></s></s></s></s></s></s></s>Blue Apron notch triple-digit percentage gain Nike rally earn beat boost rival well retailer Foot Locker ,by MarketWatch,2023-09-29,1
2023-09-29 08:49:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s>Fortnite parent company Epic Games the spotlight tech layoffs roll ,by James Rogers,2023-09-29,1
2023-09-29 07:46:00,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s>Nio ’ , Alibaba ’ stock get boost China ’ cyberspace regulator ",by Tomi Kilgore,2023-09-29,1
2023-09-29 05:51:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s>Alibaba NIO XPeng Stocks Climb Chinese Businesses Get Regulatory Boost ,by Barron's,2023-09-29,2
2023-09-27 03:00:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s>For This Pro China ’ Slowdown Won ’ Hold Back These Luxury Stocks ,by Barron's,2023-09-27,2
2023-09-26 22:04:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s>Alibaba ’ logistics unit file Hong Kong IPO ,by Emily Bary,2023-09-26,1
2023-09-26 10:07:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s>Alibaba continue plan value unlock it seek spinoff logistics unit ,by Barron's,2023-09-26,1
2023-09-25 08:56:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s>Evergrande Debt Fears Mount Weighing Chinese Stocks ,by Barron's,2023-09-25,2
2023-09-22 16:37:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s>These Stocks Moved Most Today Ford Activision Alibaba Squarespace Amazon Scholastic and More ,by Emily Bary,2023-09-22,2
2023-09-22 10:20:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s>Alibaba other Chinese share bounce back China reportedly look re-energize stock market ,by Barron's,2023-09-22,1
2023-09-22 06:36:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s>Alibaba JD.com Stocks Rise Report China Easing Ownership Limits ,by Barron's,2023-09-22,2
2023-09-21 13:42:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s>China Is Trouble but It ’ No Disaster Don ’ Run Scared ,by Barron's,2023-09-21,0
2023-09-19 07:02:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s>U.S. Business Confidence Hits Record Low China Days Outperformance May Be Over ,by Barron's,2023-09-19,2
2023-09-18 14:34:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s>SoftBank Could Boost Its Stock With Big Buyback Analyst ,by Barron's,2023-09-18,2
2023-09-18 05:20:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s>Alibaba Plans Invest $ 2 Billion Turkey ,by Barron's,2023-09-18,1
2023-09-15 07:20:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s>Alibaba JD.com Show Jury Is Still Out China ’ Economy Amid Strong Data ,by Barron's,2023-09-15,1
2023-09-14 16:10:00,</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s>Arm Stock Closes 25 % Above IPO Price Public Debut ,by Barron's,2023-09-14,1
